"","County","At Risk Pop 10-19","Court Commitments(CC)","Commitment Rate per 1K","Commitment Rate Rank","CC White %","CC Black %","CC Hispanic %","CC Male %","Alt Plans Commitments","Alt Plans Commitments %","Detention Long Term","Detention Long Term White %","Detention Long Term Black %","Detention Long Term Hispanic %","Detention Long Term Male %","Detention Total","Detention Rate per 1K","Detention White %","Detention Black %","Detention Hispanic %","Detention Male %","Short-Term Program","Short-Term Program White %","Short-Term Program Black %","Short-Term Program Hispanic %","Short-Term Program Male %","22/23 Grads","GR Black","GR White","GR Hispanic","GR Asian","GR Female","GR Male","GR Eco Dis","Grads with HOPE Rate","2022 Model-Based Estimate of Median Household Income, Dollars","2022 Rank","2018-2022 Median Household Income, Dollars","2018-2022 Rank of Total","2018-2022 Median Household Income, White, Dollars","2018-2022 Median Household Income, Black, Dollars","2018-2022 Median Household Income, Hispanic, Dollars","2018-2022 Households With Incomes Less than $10,000, Percent","2018-2022 Households With Incomes Less than $10,000, White, Percent","2018-2022 Households With Incomes Less than $10,000, Black, Percent","2018-2022 Households With Incomes Less than $10,000, Hispanic, Percent","2018-2022 Households With Incomes $10,000-$24,999, Percent","2018-2022 Households With Incomes $10,000-$24,999, White, Percent","2018-2022 Households With Incomes $10,000-$24,999, Black, Percent...15","2018-2022 Households With Incomes $10,000-$24,999, Black, Percent...16","2018-2022 Households With Incomes $25,000-$49,999, Percent","2018-2022 Households With Incomes $25,000-$49,999, White, Percent...18","2018-2022 Households With Incomes $25,000-$49,999, White, Percent...19","2018-2022 Households With Incomes $25,000-$49,999, White, Percent...20","2018-2022 Households With Incomes $50,000-$99,999, Percent","2018-2022 Households With Incomes $50,000-$99,999, White, Percent","2018-2022 Households With Incomes $50,000-$99,999, Black, Percent","2018-2022 Households With Incomes $50,000-$99,999, Hispanic, Percent","2018-2022 Households With Incomes $100,000 or More, Percent","2018-2022 Households With Incomes $100,000 or More, White, Percent","2018-2022 Households With Incomes $100,000 or More, Black, Percent","2018-2022 Households With Incomes $100,000 or More, Hispanic, Percent","2022 Total Persons in Poverty","2022 Total Persons in Poverty, Percent","2022 Rank of Total Persons in Poverty, Percent","2022 Children Under Age 18 in Poverty","2022 Children Under Age 18 in Poverty, Percent","2022 Related Children in Families, Age 5-17, in Poverty","2022 Related Children in Families, Age 5-17, in Poverty, Percent","2018-2022 Persons Below Poverty Level, Percent","2018-2022 Persons Below Poverty Level, White, Percent","2018-2022 Persons Below Poverty Level, Black, Percent","2018-2022 Persons Below Poverty Level, Hispanic, Percent","2018-2022 Persons Age 65 and Over in Poverty, Percent","2018-2022 Persons Less than High School Graduates in Poverty, Percent","2018-2022 Persons with Bachelor's Degree or Higher in Poverty, Percent","2018-2022 Families Below Poverty Level, Percent","2018-2022 Families Below Poverty Level with a White Householder, Percent","2018-2022 Families Below Poverty Level with a Black Householder, Percent","2018-2022 Families Below Poverty Level with a Hispanic Householder, Percent","2018-2022 Families Below Poverty Level, Female Head of Household, No Husband Present, Percent","2018-2022 Poverty Level with a White Householder, Female Head of Household, No Husband Present, Percent","2018-2022 Poverty Level with a Black Householder, Female Head of Household, No Husband Present, Percent","2018-2022 Poverty Level with an Hispanic Householder, Female Head of Household, No Husband Present, Percent"
"28","CHEROKEE",37921,3,0.0791118377679914,86,0,0.333333333333333,0,0.666666666666667,1,0.333333333333333,2,0,0,1,1,22,0.58015347696527,0.454545454545454,0.363636363636364,0.181818181818182,0.545454545454545,5,0.6,0.2,0.2,0.8,2967,0.916666666666667,0.941798941798942,0.85985401459854,0.986111111111111,0.943312101910828,0.901152213462705,0.905572755417957,0.613742494996664,99932,4,100824,4,103297,"91531","66243",0.0291786483617287,0.0293898035375482,"1.8132654684269126E-2","3.490241102181401E-2",0.0626552466940828,0.0576412265132505,"9.1458565293462704E-2","0.10826636050516647",0.131783185430259,0.131978701266907,"0.13042786702719897","0.20505166475315728",0.271337724044814,0.26143582838607,"0.29489422618100841","0.38518943742824341",0.505045195469116,0.519554440296224,"0.46508668681406073","0.26659012629161882",15654,0.056118790868418,"2",4125,0.0661715165709519,2703,0.0568274992116052,0.0663127384134803,0.0582083735431668,0.0928556057671616,"0.17032576705794797",0.0606303151575788,0.147444112202762,0.0299166597447186,0.053,0.043,"9.2999999999999985E-2","0.13799999999999998",0.149,0.12,"0.23799999999999999","0.26400000000000001"
"29","CLARKE",19137,3,0.156764383132152,97,0,1,0,0.666666666666667,2,0.666666666666667,1,0,1,0,0,47,2.45597533573705,0.170212765957447,0.829787234042553,0,0.851063829787234,0,NA,NA,NA,NA,579,0.719402985074627,0.838509316770186,0.73542600896861,0.866666666666667,0.812664907651715,0.696658097686375,0.75390625,0.466780238500852,49832,95,48692,105,52801,"38587","55088",0.104994750262487,0.102481345493308,"0.11036052573610397","5.8877225011410315E-2",0.16139193040348,0.140086462158001,"0.21653572215287467","0.19853947968963945",0.24148792560372,0.236083145801255,"0.28041706439533004","0.21816522136010955",0.265842957852107,0.258231671206917,"0.26059182025111977","0.36376083979917845",0.226282435878206,0.263117375340519,"0.13209486746457155","0.16065723413966226",31580,0.265044062106588,"150",5268,0.249207625715502,3700,0.246502331778814,0.265976024363701,0.257197917565508,0.286534605335116,"0.26061877294179342",0.0982080844561745,0.3676408893861,0.0756242500428547,0.128,0.064,"0.22999999999999998","0.21200000000000002",0.319,0.225,"0.36199999999999999","0.13600000000000001"
"30","CLAY",326,0,0,80,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,1,3.06748466257669,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37961,158,43264,138,55795,"30236","-",0.0691163604549431,0.0606741573033708,"7.7037037037037043E-2","0",0.234470691163605,0.137078651685393,"0.29629629629629628","0",0.31583552055993,0.244943820224719,"0.36444444444444446","0",0.31758530183727,0.465168539325843,"0.21777777777777776","0",0.062992125984252,0.0921348314606742,"4.4444444444444446E-2","1",700,0.251346499102334,"144",219,0.386243386243386,154,0.353211009174312,0.257326661901358,0.12862669245648,0.344079718640094,"0",0.0913173652694611,0.263333333333333,0.11437908496732,0.16,0.091,"0.23299999999999998","0",0.307,0.19,"0.33199999999999996","-"
"31","CLAYTON",45195,15,0.331895121141719,116,0.133333333333333,0.8,0,1,14,0.933333333333333,1,0,1,0,1,220,4.86779511007855,0.0318181818181818,0.909090909090909,0.05,0.8,2,0,1,0,1,3243,0.817227651103873,0.591549295774648,0.792035398230089,0.93491124260355,0.847926267281106,0.775280898876405,0.81075,0.351051051051051,57625,63,56207,65,60377,"54306","59836",0.0637759969471475,0.0597479922459153,"6.6177330302046117E-2","2.8465947731467989E-2",0.122715130700248,0.126488507338687,"0.12553426437154921","0.10239968910910327",0.250429307384087,0.232691775131543,"0.25905813575836312","0.22189837753813271",0.34721427208548,0.343741345887566,"0.35110100682039624","0.40406101233848246",0.215865292883038,0.237330379396289,"0.19812926274764533","0.24317497328281357",42575,0.14558243231229,"61",15353,0.196957062770202,11095,0.190930992944416,0.169108897309717,0.196486804965608,0.168482509282783,"0.181993797976717",0.125938625064289,0.231918777093315,0.0616100047291262,0.139,0.16,"0.13799999999999998","0.14399999999999999",0.236,0.322,"0.22400000000000003","0.25"
"32","CLINCH",907,0,0,80,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,1,1.10253583241455,0,1,0,0,0,NA,NA,NA,NA,78,0.966666666666667,0.914893617021277,NA,NA,0.9,0.91304347826087,0.917647058823529,0.461538461538462,45595,126,53350,80,61042,"-","-",0.187840670859539,0.101004464285714,"0.48990825688073397","0.85",0.115303983228512,0.113839285714286,"0.12293577981651377","0.15",0.186163522012579,0.201450892857143,"0.14678899082568808","0",0.353459119496855,0.397321428571429,"0.23669724770642203","0",0.157232704402516,0.186383928571429,"3.669724770642202E-3","0",1410,0.214611872146119,"114",453,0.273220747889023,310,0.256198347107438,0.32457332729195,0.23094688221709,0.457159286946521,"0.70052083333333337",0.289094650205761,0.536332179930796,0.0470383275261324,0.232,0.174,"0.47700000000000004","-",0.639,0.531,"0.76900000000000002","-"
"33","COBB",102393,28,0.273456193294464,109,0.178571428571429,0.571428571428571,0,0.571428571428571,23,0.821428571428571,5,0,0.4,0.6,0.2,313,3.0568495893274,0.153354632587859,0.600638977635783,0.214057507987221,0.693290734824281,6,0.5,0.166666666666667,0.333333333333333,0.5,7973,0.887183148875402,0.933830382106244,0.763619575253924,0.953488372093023,0.898468271334792,0.855909694555113,0.798981426003595,0.5704475781729,96798,5,94244,5,104798,"79907","72861",0.032321213307644,0.0282553201785693,"4.2377286566499174E-2","3.2701019252548133E-2",0.0610156918099673,0.0521673905416359,"7.0150251243842665E-2","9.3360702151755376E-2",0.145062523396904,0.126159913860895,"0.18303670882942646","0.20027604756511891",0.286618516267073,0.270285638239955,"0.30878239560385157","0.34470554926387315",0.474982055218411,0.523131737178944,"0.39565335775638011","0.3289566817667044",61108,0.0803275779344976,"11",16420,0.0971407949926937,12056,0.0951509028917793,0.0828603077184,0.0615284779362391,0.0968185493437138,"0.15577261683438093",0.0688214442594314,0.17443367519441,0.0347581042161693,0.054,0.033,"7.6999999999999999E-2","0.13100000000000001",0.134,0.117,"0.12899999999999998","0.24099999999999999"
"34","COFFEE",5796,3,0.5175983436853,130,0.333333333333333,0.666666666666667,0,1,3,1,0,NA,NA,NA,NA,24,4.1407867494824,0.416666666666667,0.458333333333333,0.0833333333333333,0.708333333333333,5,0.4,0.6,0,1,377,0.867256637168142,0.849056603773585,0.838383838383838,NA,0.894495412844037,0.816143497757848,0.854875283446712,0.54025974025974,48792,103,48398,108,53668,"37568","33388",0.0970189337988452,0.0788872329855936,"0.13238396624472573","0.18606492478226444",0.183093863300658,0.170491803278689,"0.21308016877637131","0.18923198733174981",0.239156707398953,0.213810233482365,"0.28929324894514769","0.36262866191607285",0.295353833758561,0.336313959264779,"0.18380801687763712","0.22090261282660331",0.185376661742984,0.200496770988574,"0.18143459915611815","4.1171813143309581E-2",7959,0.198642274190731,"100",2686,0.259091347545095,1900,0.251989389920424,0.200407625580991,0.182864896297732,0.228386976047904,"0.35192382432957636",0.178017311775274,0.266763058015543,0.0497252747252747,0.175,0.156,"0.185","0.432",0.435,0.504,"0.34400000000000003","0.69699999999999995"
"35","COLQUITT",6738,1,0.148411991688928,95,0,1,0,1,0,0,1,0,1,0,1,23,3.41347580884536,0,0.739130434782609,0.217391304347826,0.956521739130435,0,NA,NA,NA,NA,492,0.867647058823529,0.908675799086758,0.837837837837838,1,0.91497975708502,0.844444444444444,0.875444839857651,0.426195426195426,49214,101,47235,117,58829,"29290","41284",0.0709837354132656,0.0326534345559316,"0.11432225063938618","0.15593220338983052",0.223229941350747,0.184395865727614,"0.34475703324808182","0.16483050847457628",0.224076425418707,0.230677764565993,"0.21585677749360613","0.27372881355932205",0.269967954531713,0.295252904051953,"0.18107416879795396","0.26779661016949152",0.211741943285567,0.257020031098509,"0.14398976982097186","0.13771186440677965",10128,0.225552858383627,"127",3608,0.314477468839885,2710,0.320482497634816,0.243645847146709,0.132600094377291,0.398704993623075,"0.39463101836756875",0.166933488575171,0.343185298621746,0.0824529168580616,0.194,0.104,"0.29899999999999999","0.36699999999999999",0.361,0.187,"0.45800000000000002","0.41699999999999998"
"36","COLUMBIA",22829,1,0.0438039335932367,84,0,0,0,1,1,1,0,NA,NA,NA,NA,52,2.27780454684831,0.423076923076923,0.442307692307692,0.0769230769230769,0.692307692307692,1,0,1,0,0,1958,0.939508506616257,0.913155631986242,0.890995260663507,0.99,0.936492890995261,0.905695611577965,0.919291338582677,0.515943544171458,94224,6,92571,6,98019,"78796","77092",0.0317444462202333,0.0232807137954701,"2.8621089223638471E-2","7.4126367807977406E-2",0.0727185552181557,0.0638023335621139,"0.10289687137891078","2.7532650900105895E-2",0.13396995365191,0.141249142072752,"0.11819235225955968","0.12530885986586657",0.29760668051782,0.280741249142073,"0.33371958285052145","0.39039887045534771",0.463960364391881,0.490926561427591,"0.41657010428736962","0.38263325097070244",11298,0.0701368842536549,"5",3313,0.0837123509197493,2340,0.0777073024939395,0.0719293640071456,0.0537369373361397,0.0997382298266247,"7.8666433321666077E-2",0.0650683416640863,0.1230181200453,0.0246667178424298,0.06,0.043,"7.6999999999999999E-2","7.8E-2",0.182,0.166,"0.15","0.36800000000000005"
"37","COOK",2559,0,0,80,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,14,5.47088706525987,0.142857142857143,0.714285714285714,0.0714285714285714,0.642857142857143,2,0,0.5,0,0.5,187,0.985714285714286,0.988636363636364,0.944444444444444,NA,0.98936170212766,0.979166666666667,0.984210526315789,0.518518518518518,44476,136,46706,121,51425,"28190","57099",0.0868214519293656,0.0882926829268293,"9.9881796690307334E-2","0",0.220405493786789,0.180975609756098,"0.34397163120567376","0",0.207488554610857,0.216829268292683,"0.2115839243498818","0.20634920634920634",0.276814911706998,0.259512195121951,"0.25","0.51851851851851849",0.208469587965991,0.254390243902439,"9.4562647754137114E-2","0.27513227513227512",3527,0.205848021477764,"105",1233,0.287949556282111,878,0.269821757836509,0.217845137701244,0.201954097151811,0.286554804968403,"0.20650263620386644",0.282843319687384,0.271995977878331,0.181562675660483,0.194,0.168,"0.30799999999999994","4.3999999999999997E-2",0.411,0.471,"0.41799999999999998","1"
